,TERM,DOMAIN,P,-log10(P),FDR,ORDER
0,amygdala,MEMORY,1.7879098604666281e-31,30.747654380444324,1.0727459162799769e-29,0
1,hippocampus,MEMORY,1.912841812528576e-06,5.718320943609154,2.295410175034291e-05,0
4,parahippocampal_gyrus_posterior_division,MEMORY,0.17945108320917583,0.7460539158186322,0.6333567642676794,0
2,inferior_temporal_gyrus_anterior_division,MEMORY,0.3124380296129791,0.505236109731142,0.8926800846085118,0
3,parahippocampal_gyrus_anterior_division,MEMORY,0.38709516529256405,0.41218225286051596,0.9677379132314101,0
6,inferior_temporal_gyrus_posterior_division,MEMORY,0.37685143521895104,0.4238298264012565,0.9677379132314101,0
5,temporal_fusiform_cortex_anterior_division,MEMORY,1.0,-0.0,1.0,0
7,temporal_fusiform_cortex_posterior_division,MEMORY,1.0,-0.0,1.0,0
8,accumbens,REWARD,3.44520216335114e-11,10.462785288748575,6.890404326702279e-10,1
9,brainstem,REWARD,2.560185219670893e-06,5.591728613996284,2.5601852196708926e-05,1
10,caudate,REWARD,1.0676610299670243e-05,4.971566608900686,9.151380256860207e-05,1
15,thalamus,REWARD,0.001651217579771824,2.7821956962900107,0.011008117198478827,1
13,putamen,REWARD,0.0069418241255120704,2.1585263935869903,0.041650944753072426,1
14,subcallosal_cortex,REWARD,0.016670552567801422,1.7780500046609085,0.0909302867334623,1
11,frontal_medial_cortex,REWARD,0.9371489151230794,0.02819139323430556,1.0,1
12,pallidum,REWARD,0.7279963999859025,0.13787076831075823,1.0,1
16,cingulate_gyrus_anterior_division,COGNITION,2.8981284953605435e-11,10.537882362968055,6.890404326702279e-10,2
23,insular_cortex,COGNITION,1.5617252686083258e-07,6.806395362789963,2.342587902912489e-06,2
17,cingulate_gyrus_posterior_division,COGNITION,0.00043196396091066684,3.364552485200189,0.0032397297068300014,2
20,frontal_pole,COGNITION,0.05899682437794671,1.2291713644977131,0.2757178126264908,2
18,frontal_operculum_cortex,COGNITION,0.1637259364473361,0.7858825169000916,0.6333567642676794,2
22,inferior_frontal_gyrus_pars_triangularis,COGNITION,0.17722589588897367,0.7514728195821984,0.6333567642676794,2
25,temporal_pole,COGNITION,0.20989361433749387,0.6780007739005683,0.6996453811249796,2
24,paracingulate_gyrus,COGNITION,0.26230952239333966,0.5811859433104589,0.8283458601894937,2
19,frontal_orbital_cortex,COGNITION,0.7144563436247946,0.1460243033350129,1.0,2
21,inferior_frontal_gyrus_pars_opercularis,COGNITION,0.9779107369219897,0.009700785530857561,1.0,2
27,inferior_temporal_gyrus_posterior_division,VISION,0.37685143521895104,0.4238298264012565,0.9677379132314101,3
26,cuneal_cortex,VISION,0.9149342971438356,0.03861009217661444,1.0,3
28,inferior_temporal_gyrus_temporooccipital_part,VISION,1.0,-0.0,1.0,3
29,intracalcarine_cortex,VISION,0.9895050243734602,0.004581996250784619,1.0,3
30,lateral_occipital_cortex_inferior_division,VISION,0.8125000028374819,0.09017662883240772,1.0,3
