,TERM,DOMAIN,P,-log10(P),FDR,ORDER
0,amygdala,MEMORY,7.593370643113946e-33,32.11956540107948,4.5560223858683675e-31,0
1,hippocampus,MEMORY,1.1517918740962175e-10,9.938625989747441,7.678612493974784e-10,0
4,parahippocampal_gyrus_posterior_division,MEMORY,0.017340220825676197,1.760945376135358,0.05780073608558733,0
5,temporal_fusiform_cortex_anterior_division,MEMORY,0.059133672649682875,1.2281651471811912,0.1612736526809533,0
2,inferior_temporal_gyrus_anterior_division,MEMORY,0.3279556638939526,0.48418486429953156,0.6785289597805916,0
6,inferior_temporal_gyrus_posterior_division,MEMORY,0.32678840133959347,0.48573336622653746,0.6785289597805916,0
3,parahippocampal_gyrus_anterior_division,MEMORY,0.6890095895467925,0.16177473359560496,0.9999999348081857,0
7,temporal_fusiform_cortex_posterior_division,MEMORY,0.6494460220824365,0.18745693894954468,0.9999999348081857,0
10,caudate,REWARD,1.9498360433646282e-27,26.710001905794236,5.849508130093885e-26,1
8,accumbens,REWARD,5.697190864919253e-26,25.244339230746462,1.1394381729838505e-24,1
15,thalamus,REWARD,1.070132441755811e-14,13.970562469824829,1.070132441755811e-13,1
9,brainstem,REWARD,1.6635415550905884e-13,12.778966346029828,1.4258927615062187e-12,1
14,subcallosal_cortex,REWARD,7.355300155593316e-11,10.133399599855817,5.516475116694988e-10,1
13,putamen,REWARD,1.4181566340800895e-10,9.848275799082533,8.508939804480537e-10,1
12,pallidum,REWARD,2.5669423985698137e-06,5.590583876659275,1.1847426454937602e-05,1
11,frontal_medial_cortex,REWARD,0.9506383829606424,0.021984654619970918,0.9999999348081857,1
16,cingulate_gyrus_anterior_division,COGNITION,6.172822605889002e-19,18.20951620357566,9.259233908833503e-18,2
17,cingulate_gyrus_posterior_division,COGNITION,4.085463905696681e-18,17.388758622058084,4.902556686836017e-17,2
20,frontal_pole,COGNITION,2.06821739622805e-07,6.684403813247344,1.1281185797607546e-06,2
23,insular_cortex,COGNITION,6.25339498697309e-07,6.203884138847692,3.126697493486545e-06,2
18,frontal_operculum_cortex,COGNITION,1.5634563127467555e-05,4.805914249629294,6.253825250987022e-05,2
25,temporal_pole,COGNITION,0.0004604857176260364,3.3367838352877444,0.0017268214410976366,2
24,paracingulate_gyrus,COGNITION,0.0054688837686626465,2.2621013066792743,0.019301942712926987,2
19,frontal_orbital_cortex,COGNITION,0.8172074986446363,0.08766765696244125,0.9999999348081857,2
21,inferior_frontal_gyrus_pars_opercularis,COGNITION,0.9396692000410983,0.027025007976417888,0.9999999348081857,2
22,inferior_frontal_gyrus_pars_triangularis,COGNITION,0.8959999161216392,0.047692030994025414,0.9999999348081857,2
29,intracalcarine_cortex,VISION,0.03343149698053382,1.4758441763290733,0.10029449094160146,3
35,supracalcarine_cortex,VISION,0.0867663459340846,1.0616486919809378,0.21691586483521147,3
