,TERM,DOMAIN,P,-log10(P),FDR,ORDER
6,right_amygdala,MEMORY,2.032843161500417e-20,19.691896126882096,2.398754930570492e-18,0
0,left_amygdala,MEMORY,1.9225616941792704e-16,15.716119714979472,7.56207599710513e-15,0
1,left_hippocampus,MEMORY,6.331930567939638e-14,13.198463855990036,1.0673825814526818e-12,0
3,left_parahippocampal_gyrus_anterior_division,MEMORY,3.048885026664819e-11,10.515858952553772,2.526266654266198e-10,0
10,right_parahippocampal_gyrus_anterior_division,MEMORY,4.548189107975469e-11,10.34216148619125,3.3542894671319083e-10,0
7,right_hippocampus,MEMORY,4.328379474637054e-10,9.363674671072372,2.6881514631956443e-09,0
11,right_parahippocampal_gyrus_posterior_division,MEMORY,2.673881840746112e-06,5.572857788190625,9.014801634515464e-06,0
4,left_parahippocampal_gyrus_posterior_division,MEMORY,3.837323344341357e-06,5.415971604307898,1.2577893184230004e-05,0
2,left_inferior_temporal_gyrus_anterior_division,MEMORY,2.9184331427146944e-05,4.534850251328522,8.399392947325217e-05,0
5,left_temporal_fusiform_cortex_anterior_division,MEMORY,0.00021599286929116653,3.665560586250072,0.0005422799697097372,0
8,right_inferior_temporal_gyrus_anterior_division,MEMORY,0.0005495367639460681,3.260003248017881,0.0012969067629127206,0
12,right_temporal_fusiform_cortex_anterior_division,MEMORY,0.00058599810778831,3.2321037863341657,0.0013558387591964818,0
9,right_inferior_temporal_gyrus_posterior_division,MEMORY,0.004298363396015055,2.3666968707867393,0.00939272001351438,0
13,right_temporal_fusiform_cortex_posterior_division,MEMORY,0.006587368351265483,2.181288051079626,0.013401887335333224,0
25,right_frontal_medial_cortex,REWARD,4.2076535638945314e-20,19.37596002491007,2.4825156026977736e-18,1
17,left_frontal_medial_cortex,REWARD,1.4384928756229543e-15,14.842092284684535,4.2435539830877153e-14,1
28,right_subcallosal_cortex,REWARD,1.535677492739497e-14,13.813699980808343,3.6241988828652125e-13,1
20,left_subcallosal_cortex,REWARD,4.0768036827962746e-14,13.389680201358996,8.01771390949934e-13,1
27,right_putamen,REWARD,1.617609662168256e-13,12.791126267654517,2.3859742516981778e-12,1
19,left_putamen,REWARD,2.6680680135385866e-13,12.573803103718003,3.498133617750591e-12,1
14,left_accumbens,REWARD,1.1910055712332564e-10,9.924086206988926,8.266979847383779e-10,1
22,right_accumbens,REWARD,7.792637589868565e-09,8.108315520909557,3.678124942417963e-08,1
16,left_caudate,REWARD,2.8887438537125333e-08,7.5392909655462645,1.3110452874541498e-07,1
21,left_thalamus,REWARD,4.0953272723727106e-07,6.387711386478354,1.7258879219284995e-06,1
24,right_caudate,REWARD,6.782809673187728e-07,6.1685903691422626,2.7046387522126018e-06,1
18,left_pallidum,REWARD,4.1448549591362915e-06,5.382490662109813,1.3046619450628155e-05,1
23,right_brainstem,REWARD,1.9798108659856753e-05,4.703376296497106,5.8404420546577426e-05,1
26,right_pallidum,REWARD,3.016342575093837e-05,4.520519335871242,8.474486282406494e-05,1
29,right_thalamus,REWARD,0.00011136835026108543,3.9532382136498723,0.00030561547280949026,1
15,left_brainstem,REWARD,0.00013864848049015334,3.858084885684805,0.00037183001585995665,1
47,right_paracingulate_gyrus,COGNITION,1.2852462608738294e-12,11.891013650938248,1.5165905878311188e-11,2
44,right_frontal_pole,COGNITION,1.3069404508316204e-11,10.883744200073934,1.4019906654375564e-10,2
48,right_temporal_pole,COGNITION,2.432783648117907e-11,10.613896511951406,2.392237253982608e-10,2
34,left_frontal_pole,COGNITION,3.211355916440082e-11,10.493311558656497,2.526266654266198e-10,2
38,left_paracingulate_gyrus,COGNITION,2.8867836296323497e-11,10.539585766163684,2.526266654266198e-10,2
33,left_frontal_orbital_cortex,COGNITION,1.7618481829547944e-10,9.754031517118987,1.1549893643814762e-09,2
37,left_insular_cortex,COGNITION,1.4154685490450051e-09,8.849099775983055,8.35126443936553e-09,2
40,right_cingulate_gyrus_anterior_division,COGNITION,1.621602906414138e-09,8.790055485924267,8.697688316221286e-09,2
42,right_frontal_operculum_cortex,COGNITION,1.55572602419605e-09,8.808066883346603,8.697688316221286e-09,2
30,left_cingulate_gyrus_anterior_division,COGNITION,5.811139960044845e-09,8.235738664546913,2.981367457762138e-08,2
43,right_frontal_orbital_cortex,COGNITION,6.198976125854261e-09,8.207680036245575,3.047829928545011e-08,2
46,right_insular_cortex,COGNITION,1.2951710500862363e-07,6.887672871580434,5.660377181858366e-07,2
