,TERM,DOMAIN,P,-log10(P),FDR,ORDER
6,fear,MEMORY,9.321804928983113e-06,5.030499989491036,0.0001740070253410181,0
5,emotion,MEMORY,0.0027623944014312373,2.5587143148461147,0.028126197541845324,0
20,arousal,MEMORY,0.010553746162664936,1.9765933556278783,0.08442996930131949,0
4,remembering,MEMORY,0.013670186988656302,1.8642255448625946,0.09006240839585329,0
12,facial_expression,MEMORY,0.11142436787951082,0.9530198210265655,0.5942632953573911,0
16,face,MEMORY,0.13170167397365287,0.8804087049706377,0.6413298906543097,0
21,episodic_simulation,MEMORY,0.14444087685138313,0.8403098837832804,0.6740574253064546,0
1,episodic_memory,MEMORY,0.15094932612094236,0.8211688214458485,0.6762529810218217,0
2,declarative_memory,MEMORY,0.21699613391234535,0.6635480036422167,0.8679845356493814,0
0,memory,MEMORY,0.9718360521388816,0.01240699397999384,1.0,0
3,recognition_memory,MEMORY,0.9996069483460825,0.0001707337201833262,1.0,0
7,recognition,MEMORY,0.9999999972754573,1.1832538630430867e-09,1.0,0
8,emotional_memory,MEMORY,0.6583302871916421,0.18155616426440602,1.0,0
9,encoding,MEMORY,0.9996944830733481,0.0001327045881543202,1.0,0
10,retrieval,MEMORY,0.9999987606812195,5.382296412042211e-07,1.0,0
11,valence,MEMORY,0.8978472467570174,0.046797544773113174,1.0,0
13,picture,MEMORY,0.9679788846854271,0.014134116208776948,1.0,0
14,recall,MEMORY,0.9534564593970669,0.020699134684410737,1.0,0
15,autobiographical_memory,MEMORY,0.7193406059038749,0.1430654236110151,1.0,0
17,memory_process,MEMORY,0.8094350122128366,0.09181801407594566,1.0,0
18,source_memory,MEMORY,0.4484561824395972,0.3482799844021347,1.0,0
19,encoding_task,MEMORY,0.6043169149850942,0.21873524956773166,1.0,0
22,reward,REWARD,1.5377116887630853e-21,20.813125084376434,1.7222370914146556e-19,1
24,reward_anticipation,REWARD,4.406845249772274e-08,7.355872199853136,2.4678333398724734e-06,1
25,anticipation,REWARD,1.3073094439040334e-06,5.8836216014986435,2.928373154345035e-05,1
23,reward_processing,REWARD,0.00013140494260046093,3.8813882991313644,0.001839669196406453,1
26,monetary_incentive_delay_task,REWARD,0.0015038743413236526,2.8227884504130203,0.018714880692027674,1
27,reward_learning,REWARD,0.060865966598950764,1.2156254766576546,0.3408494129541243,1
46,anticipation,COGNITION,1.3073094439040334e-06,5.8836216014986435,2.928373154345035e-05,2
51,salience,COGNITION,1.2351346361319958e-06,5.908285699455155,2.928373154345035e-05,2
39,cognitive,COGNITION,1.9257345668468677e-05,4.715403573960127,0.00030811753069549884,2
