,TERM,DOMAIN,P,-log10(P),FDR,ORDER
0,amygdala,MEMORY,1.2470748224187309e-14,13.904107488791917,7.482448934512385e-13,0
1,hippocampus,MEMORY,1.8992060126367404e-11,10.721427923468031,5.697618037910222e-10,0
3,parahippocampal_gyrus_anterior_division,MEMORY,0.01925569335257895,1.715440838828958,0.08887243085805668,0
2,inferior_temporal_gyrus_anterior_division,MEMORY,0.9375208942732651,0.028019044489348815,1.0,0
4,parahippocampal_gyrus_posterior_division,MEMORY,0.9682851348201791,0.0139967354142426,1.0,0
5,temporal_fusiform_cortex_anterior_division,MEMORY,1.0,-0.0,1.0,0
6,inferior_temporal_gyrus_posterior_division,MEMORY,0.8281935765578137,0.08186814219432004,1.0,0
7,temporal_fusiform_cortex_posterior_division,MEMORY,1.0,-0.0,1.0,0
10,caudate,REWARD,4.696655099008704e-06,5.328211331257476,4.025704370578889e-05,1
8,accumbens,REWARD,9.6481253928837e-05,4.015557060813006,0.0007236094044662775,1
13,putamen,REWARD,0.0003014669546582223,3.520760286164373,0.002009779697721482,1
14,subcallosal_cortex,REWARD,0.04926254773554553,1.307483131293578,0.17386781553721953,1
12,pallidum,REWARD,0.0620515808400331,1.2072471498403887,0.18743731717429593,1
11,frontal_medial_cortex,REWARD,0.32530314479239203,0.48771173825709213,0.887190394888342,1
9,brainstem,REWARD,0.7918566797736055,0.10135341540028846,1.0,1
15,thalamus,REWARD,0.8424734904105817,0.07444375591601331,1.0,1
16,cingulate_gyrus_anterior_division,COGNITION,2.6331967516968977e-10,9.579516689323913,5.266393503393795e-09,2
23,insular_cortex,COGNITION,5.757906144663446e-09,8.2397354185109,8.63685921699517e-08,2
17,cingulate_gyrus_posterior_division,COGNITION,3.168974383448906e-08,7.499081271435054,3.802769260138687e-07,2
25,temporal_pole,COGNITION,0.04031793185002519,1.394501753575381,0.15119224443759446,2
24,paracingulate_gyrus,COGNITION,0.0610755973642171,1.2141322766146248,0.18743731717429593,2
18,frontal_operculum_cortex,COGNITION,0.9853913998274643,0.006391232424185193,1.0,2
19,frontal_orbital_cortex,COGNITION,0.9149292300063403,0.038612497415934845,1.0,2
20,frontal_pole,COGNITION,0.546113799796247,0.26271684910144655,1.0,2
21,inferior_frontal_gyrus_pars_opercularis,COGNITION,0.9998218494905948,7.737667573468308e-05,1.0,2
22,inferior_frontal_gyrus_pars_triangularis,COGNITION,0.5000000000017631,0.30102999566244976,1.0,2
31,lingual_gyrus,VISION,0.002192264327111948,2.6591070829954964,0.01096132163555974,3
29,intracalcarine_cortex,VISION,0.034984266387630115,1.4561272287160996,0.13993706555052046,3
30,lateral_occipital_cortex_inferior_division,VISION,0.0624791057247653,1.2042651952251733,0.18743731717429593,3
26,cuneal_cortex,VISION,0.08393893342100044,1.0760365534985687,0.23982552406000127,3
34,occipital_pole,VISION,0.35993295950786414,0.44377838264136443,0.9389555465422542,3
27,inferior_temporal_gyrus_posterior_division,VISION,0.8281935765578137,0.08186814219432004,1.0,3
28,inferior_temporal_gyrus_temporooccipital_part,VISION,1.0,-0.0,1.0,3
32,middle_temporal_gyrus_temporooccipital_part,VISION,0.5000000000080993,0.3010299956569462,1.0,3
33,occipital_fusiform_gyrus,VISION,0.7256488063279716,0.1392735148039649,1.0,3
35,supracalcarine_cortex,VISION,0.750013929936273,0.12493067042393183,1.0,3
36,temporal_fusiform_cortex_posterior_division,VISION,1.0,-0.0,1.0,3
37,temporal_occipital_fusiform_cortex,VISION,1.0,-0.0,1.0,3
44,precuneous_cortex,MANIPULATION,2.378938017563105e-06,5.6236168732132565,2.3789380175631047e-05,4
45,superior_frontal_gyrus,MANIPULATION,0.0005257963378020076,3.2791824431020764,0.003154778026812046,4
41,middle_frontal_gyrus,MANIPULATION,0.0009860048947323355,3.006120929125759,0.00537820851672183,4
42,postcentral_gyrus,MANIPULATION,0.03188129382489322,1.4964640621313259,0.13663411639239953,4
38,angular_gyrus,MANIPULATION,0.9375365659968349,0.02801178482588502,1.0,4
39,cerebellum,MANIPULATION,0.9999468288780611,2.3092538788217304e-05,1.0,4
40,lateral_occipital_cortex_superior_division,MANIPULATION,0.49999999999368994,0.30102999566946204,1.0,4
43,precentral_gyrus,MANIPULATION,0.5000000000170041,0.3010299956492117,1.0,4
46,superior_parietal_lobule,MANIPULATION,0.9286006961077575,0.032170995109167815,1.0,4
47,supplementary_motor_cortex,MANIPULATION,0.9998991332291486,4.380809141567286e-05,1.0,4
48,supramarginal_gyrus_anterior_division,MANIPULATION,0.9375208942732651,0.028019044489348815,1.0,4
49,supramarginal_gyrus_posterior_division,MANIPULATION,0.5000000000118738,0.3010299956536677,1.0,4
50,inferior_frontal_gyrus_pars_opercularis,MANIPULATION,0.9998218494905948,7.737667573468308e-05,1.0,4
51,central_opercular_cortex,LANGUAGE,0.5407200266382677,0.2670275451692895,1.0,5
52,heschls_gyrus,LANGUAGE,0.9965172863631007,0.00151516328863954,1.0,5
53,middle_temporal_gyrus_anterior_division,LANGUAGE,0.8339628390060687,0.07885330089004315,1.0,5
54,middle_temporal_gyrus_posterior_division,LANGUAGE,0.9960534801988103,0.0017173427693807984,1.0,5
55,parietal_operculum_cortex,LANGUAGE,0.9978984408553951,0.0009136559275010742,1.0,5
56,planum_polare,LANGUAGE,0.895126805887048,0.04811543709070327,1.0,5
57,planum_temporale,LANGUAGE,0.9999779064207754,9.595225539545999e-06,1.0,5
58,superior_temporal_gyrus_anterior_division,LANGUAGE,0.7504310119005027,0.12468922684252332,1.0,5
59,superior_temporal_gyrus_posterior_division,LANGUAGE,0.7620946470241899,0.11799108886018125,1.0,5
