,TERM,DOMAIN,P,-log10(P),FDR,ORDER
0,amygdala,MEMORY,1.9933651443941267e-73,72.70041313999985,1.1960190866364761e-71,0
1,hippocampus,MEMORY,4.882613049778065e-56,55.31134769246891,1.4647839149334195e-54,0
5,temporal_fusiform_cortex_anterior_division,MEMORY,0.05915801910921916,1.2279863766686965,0.15432526724144127,0
7,temporal_fusiform_cortex_posterior_division,MEMORY,0.2208608211853281,0.6558813174110479,0.4732731882542745,0
2,inferior_temporal_gyrus_anterior_division,MEMORY,0.4108782592126775,0.38628683793930063,0.7250792809635486,0
3,parahippocampal_gyrus_anterior_division,MEMORY,0.907879286249897,0.04197189244885026,0.9999999999926045,0
4,parahippocampal_gyrus_posterior_division,MEMORY,0.6452833649217417,0.1902495306403027,0.9999999999926045,0
6,inferior_temporal_gyrus_posterior_division,MEMORY,0.8986441354752281,0.04641225553751574,0.9999999999926045,0
8,accumbens,REWARD,1.9252211135389965e-36,35.715519384142404,2.887831670308495e-35,1
10,caudate,REWARD,2.446552143763333e-15,14.611445523616549,1.6310347625088887e-14,1
13,putamen,REWARD,2.070327939779155e-09,8.68396085688316,1.1292697853340846e-08,1
12,pallidum,REWARD,1.5378076153807808e-08,7.813097992756042,7.689038076903904e-08,1
15,thalamus,REWARD,1.59538345020865e-05,4.797134917437315,6.3815338008346e-05,1
14,subcallosal_cortex,REWARD,0.119091593658499,0.9241188930644492,0.2977289841462475,1
9,brainstem,REWARD,0.2987788034929848,0.5246502162694975,0.5717212649795553,1
11,frontal_medial_cortex,REWARD,0.3143437183128329,0.5025952139501292,0.5717212649795553,1
16,cingulate_gyrus_anterior_division,COGNITION,3.302043638267777e-24,23.4812171916021,3.9624523659213325e-23,2
17,cingulate_gyrus_posterior_division,COGNITION,8.933760883142572e-23,22.048965675831212,8.933760883142571e-22,2
23,insular_cortex,COGNITION,6.532232940870067e-20,19.18493833662204,5.599056806460057e-19,2
24,paracingulate_gyrus,COGNITION,1.2609597471603418e-09,8.899298776920311,7.565758482962052e-09,2
25,temporal_pole,COGNITION,5.22871536884618e-08,7.281604998848093,2.413253247159775e-07,2
18,frontal_operculum_cortex,COGNITION,0.9999977289839077,9.862908771376825e-07,0.9999999999926045,2
19,frontal_orbital_cortex,COGNITION,0.9999950007347709,2.1711587296821632e-06,0.9999999999926045,2
20,frontal_pole,COGNITION,0.9997555091420711,0.00010619401273599566,0.9999999999926045,2
21,inferior_frontal_gyrus_pars_opercularis,COGNITION,0.9999999999898943,4.388847165799497e-12,0.9999999999926045,2
22,inferior_frontal_gyrus_pars_triangularis,COGNITION,0.9999999756592945,1.0571034191745699e-08,0.9999999999926045,2
29,intracalcarine_cortex,VISION,2.3979722518748475e-42,41.62015584664474,4.795944503749694e-41,3
32,middle_temporal_gyrus_temporooccipital_part,VISION,0.0014277062786017785,2.845361130587267,0.005086699359473683,3
37,temporal_occipital_fusiform_cortex,VISION,0.003580097533919324,2.446105141549991,0.011933658446397747,3
35,supracalcarine_cortex,VISION,0.011232610389529139,1.949519304644326,0.03369783116858742,3
30,lateral_occipital_cortex_inferior_division,VISION,0.01732072263974968,1.7614339926934555,0.049487778970713374,3
36,temporal_fusiform_cortex_posterior_division,VISION,0.2208608211853281,0.6558813174110479,0.4732731882542745,3
31,lingual_gyrus,VISION,0.261133779539202,0.5831369454172576,0.522267559078404,3
28,inferior_temporal_gyrus_temporooccipital_part,VISION,0.31444669573875544,0.5024529645543395,0.5717212649795553,3
33,occipital_fusiform_gyrus,VISION,0.4558354707842309,0.3411918832660322,0.7814322356301101,3
26,cuneal_cortex,VISION,0.5565192112112956,0.2545198390937874,0.9024635857480467,3
27,inferior_temporal_gyrus_posterior_division,VISION,0.8986441354752281,0.04641225553751574,0.9999999999926045,3
34,occipital_pole,VISION,0.9998546865483903,6.31134159056416e-05,0.9999999999926045,3
44,precuneous_cortex,MANIPULATION,8.517266045270328e-18,17.069699786922815,6.387949533952747e-17,4
45,superior_frontal_gyrus,MANIPULATION,6.089199941148108e-08,7.215439765490277,2.6096571176349035e-07,4
41,middle_frontal_gyrus,MANIPULATION,0.0014412314851842101,2.841266258836172,0.005086699359473683,4
49,supramarginal_gyrus_posterior_division,MANIPULATION,0.1718064234711517,0.764960602868425,0.41233541633076404,4
38,angular_gyrus,MANIPULATION,0.1921049499980853,0.7164614444607578,0.44331911538019686,4
39,cerebellum,MANIPULATION,0.23631058261756163,0.6265168290680134,0.4889184467949551,4
48,supramarginal_gyrus_anterior_division,MANIPULATION,0.5000000000101317,0.30102999565518096,0.8333333333502195,4
40,lateral_occipital_cortex_superior_division,MANIPULATION,0.9999713769582019,1.2431007015653526e-05,0.9999999999926045,4
42,postcentral_gyrus,MANIPULATION,0.7120733302005323,0.14747527987216763,0.9999999999926045,4
43,precentral_gyrus,MANIPULATION,0.9999986742225109,5.757782294355722e-07,0.9999999999926045,4
46,superior_parietal_lobule,MANIPULATION,0.9999999900682884,4.3132875496365684e-09,0.9999999999926045,4
47,supplementary_motor_cortex,MANIPULATION,0.9999999999926045,3.2118372764875824e-12,0.9999999999926045,4
50,inferior_frontal_gyrus_pars_opercularis,MANIPULATION,0.9999999999898943,4.388847165799497e-12,0.9999999999926045,4
52,heschls_gyrus,LANGUAGE,0.009012335969155945,2.04516262666516,0.02846000832365035,5
51,central_opercular_cortex,LANGUAGE,0.05301562809356443,1.2755960889968458,0.1445880766188121,5
53,middle_temporal_gyrus_anterior_division,LANGUAGE,0.6944139892875614,0.15838153868237573,0.9999999999926045,5
54,middle_temporal_gyrus_posterior_division,LANGUAGE,0.9338237247107631,0.02973509658631961,0.9999999999926045,5
55,parietal_operculum_cortex,LANGUAGE,0.9999999535677077,2.016528881543275e-08,0.9999999999926045,5
56,planum_polare,LANGUAGE,0.699235395892271,0.15537659546002236,0.9999999999926045,5
57,planum_temporale,LANGUAGE,0.9980305265058343,0.0008561748546311012,0.9999999999926045,5
58,superior_temporal_gyrus_anterior_division,LANGUAGE,0.8895842058031331,0.05081293641111544,0.9999999999926045,5
59,superior_temporal_gyrus_posterior_division,LANGUAGE,0.9963890574566239,0.0015710506179692982,0.9999999999926045,5
