,TERM,DOMAIN,P,-log10(P),FDR,ORDER
6,right_amygdala,MEMORY,1.232652995156006e-12,11.90915916468496,1.454530534284087e-10,0
0,left_amygdala,MEMORY,8.885941783257216e-12,11.051296536390328,4.149520084314117e-10,0
1,left_hippocampus,MEMORY,1.240914264896683e-10,9.906258222988384,3.6606970814452146e-09,0
3,left_parahippocampal_gyrus_anterior_division,MEMORY,1.9361226972372858e-07,6.713067123760785,2.538471980822219e-06,0
10,right_parahippocampal_gyrus_anterior_division,MEMORY,6.020040496440329e-06,5.220400587260213,5.919706488166323e-05,0
2,left_inferior_temporal_gyrus_anterior_division,MEMORY,9.317652622308634e-05,4.0306934848114615,0.000785345006737442,0
8,right_inferior_temporal_gyrus_anterior_division,MEMORY,0.0001287990475545583,3.8900873484927367,0.0009498929757148674,0
7,right_hippocampus,MEMORY,0.0003243254801019152,3.489018930349652,0.0022512003912956466,0
9,right_inferior_temporal_gyrus_posterior_division,MEMORY,0.007237634077787546,2.1404033778477305,0.04066861053233002,0
5,left_temporal_fusiform_cortex_anterior_division,MEMORY,0.007772478835311272,2.109440451879822,0.041688750116669546,0
11,right_parahippocampal_gyrus_posterior_division,MEMORY,0.008941146911856806,2.048606769174672,0.04587197111300448,0
4,left_parahippocampal_gyrus_posterior_division,MEMORY,0.047827766572585036,1.320319899032888,0.20440522520721083,0
12,right_temporal_fusiform_cortex_anterior_division,MEMORY,0.05023518246617893,1.2989920159403188,0.20440522520721083,0
13,right_temporal_fusiform_cortex_posterior_division,MEMORY,0.28660183600285455,0.5427210317915896,0.9140274769820766,0
25,right_frontal_medial_cortex,REWARD,1.0549627333001992e-11,10.976762881606044,4.149520084314117e-10,1
28,right_subcallosal_cortex,REWARD,2.1336002763174467e-09,8.670886941073741,5.035296652109174e-08,1
14,left_accumbens,REWARD,7.428307061968274e-09,8.129110152244838,1.4609003888537605e-07,1
22,right_accumbens,REWARD,1.305796689151096e-08,7.884124436884283,2.2012001331404187e-07,1
17,left_frontal_medial_cortex,REWARD,3.655513643752901e-08,7.437051590806089,5.391882624535528e-07,1
20,left_subcallosal_cortex,REWARD,3.239444652410333e-07,6.489529435801421,3.822544689844193e-06,1
24,right_caudate,REWARD,1.3314964985465866e-06,5.875659971293305,1.428332607531793e-05,1
16,left_caudate,REWARD,3.680873379867642e-05,4.434049121800981,0.00033411004524952444,1
15,left_brainstem,REWARD,0.5285029173090212,0.27695261106665314,1.0,1
18,left_pallidum,REWARD,0.9831550410387541,0.007377989636671693,1.0,1
19,left_putamen,REWARD,0.4018216040278068,0.39596671702074004,1.0,1
21,left_thalamus,REWARD,0.9988831196253588,0.0004853260597071194,1.0,1
23,right_brainstem,REWARD,0.8248255086879717,0.08363791645499509,1.0,1
26,right_pallidum,REWARD,0.7094691630503639,0.14906647632787265,1.0,1
27,right_putamen,REWARD,0.45029781907437566,0.34650015644869897,1.0,1
29,right_thalamus,REWARD,0.9887904548915627,0.004895734617649953,1.0,1
41,right_cingulate_gyrus_posterior_division,COGNITION,0.00011829068202331973,3.9270494642075335,0.0009305533652501153,2
34,left_frontal_pole,COGNITION,0.001464085061431701,2.8344336906019048,0.009092738802575828,2
44,right_frontal_pole,COGNITION,0.0016570670249257478,2.7806599249139743,0.009776695447061912,2
39,left_temporal_pole,COGNITION,0.00998902231668982,2.00047701660336,0.04911269305705828,2
31,left_cingulate_gyrus_posterior_division,COGNITION,0.01487808065583723,1.8274530912594358,0.06752359682264589,2
33,left_frontal_orbital_cortex,COGNITION,0.04897162945526881,1.3100554452638236,0.20440522520721083,2
38,left_paracingulate_gyrus,COGNITION,0.16338380153228368,0.7867910032128204,0.6024777681502961,2
43,right_frontal_orbital_cortex,COGNITION,0.18887652197159033,0.7238220230833607,0.6753766543226564,2
47,right_paracingulate_gyrus,COGNITION,0.20110531807036536,0.6965764446788627,0.6979537509500915,2
46,right_insular_cortex,COGNITION,0.2741302050279638,0.562043109100241,0.8985378942583258,2
30,left_cingulate_gyrus_anterior_division,COGNITION,0.7965285099522125,0.09879867498735102,1.0,2
32,left_frontal_operculum_cortex,COGNITION,0.9993012716430958,0.00030355993507483875,1.0,2
35,left_inferior_frontal_gyrus_pars_opercularis,COGNITION,0.99999999689378,1.3490141850562388e-09,1.0,2
36,left_inferior_frontal_gyrus_pars_triangularis,COGNITION,0.9971479974053987,0.0012403786126825944,1.0,2
37,left_insular_cortex,COGNITION,0.8793424290694227,0.05584197123384715,1.0,2
40,right_cingulate_gyrus_anterior_division,COGNITION,0.3426449350888863,0.4651556834561164,1.0,2
42,right_frontal_operculum_cortex,COGNITION,0.9819950167481107,0.007890716087071386,1.0,2
45,right_inferior_frontal_gyrus_pars_triangularis,COGNITION,0.995734708901009,0.0018563541537879097,1.0,2
48,right_temporal_pole,COGNITION,0.581878958169865,0.23516734742240755,1.0,2
50,left_inferior_temporal_gyrus_posterior_division,VISION,0.09237526624875661,1.0344442968493595,0.363342713911776,3
59,left_temporal_fusiform_cortex_posterior_division,VISION,0.2736617910256272,0.5627858350528224,0.8985378942583258,3
49,left_cuneal_cortex,VISION,0.9995528373962235,0.00019424368382673098,1.0,3
51,left_inferior_temporal_gyrus_temporooccipital_part,VISION,0.9982594350155787,0.0007565763944929675,1.0,3
52,left_intracalcarine_cortex,VISION,0.988100890610053,0.005198709260342746,1.0,3
53,left_lateral_occipital_cortex_inferior_division,VISION,1.0,-0.0,1.0,3
54,left_lingual_gyrus,VISION,0.9993762234384428,0.00027098724516032605,1.0,3
55,left_middle_temporal_gyrus_temporooccipital_part,VISION,0.9996514777739106,0.00015138766212642203,1.0,3
56,left_occipital_fusiform_gyrus,VISION,0.9999999999883848,5.044396977569541e-12,1.0,3
57,left_occipital_pole,VISION,1.0,-0.0,1.0,3
58,left_supracalcarine_cortex,VISION,0.7381735474540552,0.13184152186126946,1.0,3
60,left_temporal_occipital_fusiform_cortex,VISION,0.9999338821195214,2.871557996410288e-05,1.0,3
61,right_cuneal_cortex,VISION,0.9962737191089066,0.0016213258663560022,1.0,3
62,right_inferior_temporal_gyrus_temporooccipital_part,VISION,0.9999983481606061,7.173853262790651e-07,1.0,3
63,right_intracalcarine_cortex,VISION,0.9243517415771161,0.03416273618497721,1.0,3
64,right_lateral_occipital_cortex_inferior_division,VISION,0.9999999997872899,9.23788104285103e-11,1.0,3
65,right_lingual_gyrus,VISION,0.9998790987958092,5.250990015458509e-05,1.0,3
66,right_middle_temporal_gyrus_temporooccipital_part,VISION,0.9999888661842699,4.835381652304395e-06,1.0,3
67,right_occipital_fusiform_gyrus,VISION,0.9999999999636354,1.5792935569150318e-11,1.0,3
68,right_occipital_pole,VISION,0.9999999993766739,2.7070706725542136e-10,1.0,3
69,right_supracalcarine_cortex,VISION,0.8887337019442677,0.051228350504732914,1.0,3
70,right_temporal_occipital_fusiform_cortex,VISION,0.9999976209781353,1.0331972971789772e-06,1.0,3
71,left_angular_gyrus,MANIPULATION,0.9999986117962715,6.028896375228915e-07,1.0,4
72,left_cerebellar_crus,MANIPULATION,0.9998466770992906,6.659239492751338e-05,1.0,4
73,left_cerebellar_lobules,MANIPULATION,0.9997762641471281,9.717811782616027e-05,1.0,4
74,left_cerebellar_vermis,MANIPULATION,0.8814745323197888,0.05479023087771805,1.0,4
75,left_lateral_occipital_cortex_superior_division,MANIPULATION,0.9999999999862265,5.981771491444563e-12,1.0,4
76,left_middle_frontal_gyrus,MANIPULATION,0.9999999933396356,2.8925595034821545e-09,1.0,4
77,left_postcentral_gyrus,MANIPULATION,0.9999999999922735,3.3555702853784366e-12,1.0,4
78,left_precentral_gyrus,MANIPULATION,0.999999999992438,3.2841136201062916e-12,1.0,4
79,left_precuneous_cortex,MANIPULATION,0.9861070425410027,0.006075939560162995,1.0,4
80,left_superior_frontal_gyrus,MANIPULATION,0.9981140577988383,0.0008198276081197128,1.0,4
81,left_superior_parietal_lobule,MANIPULATION,0.9999999999809033,8.29360194342408e-12,1.0,4
82,left_supplementary_motor_cortex,MANIPULATION,0.9999999998982572,4.4186352414439335e-11,1.0,4
