,TERM,DOMAIN,P,-log10(P),FDR,ORDER
1,episodic_memory,MEMORY,4.0952044954608216e-05,4.387724406716075,0.0006681109193949345,0
5,emotion,MEMORY,4.772220852820961e-05,4.3212794658939835,0.0006681109193949345,0
6,fear,MEMORY,0.0034011653183581925,2.468372258068513,0.03463004687782887,0
11,valence,MEMORY,0.013263060894183089,1.8773562364102785,0.10610448715346471,0
19,encoding_task,MEMORY,0.01643365091698377,1.7842659425320344,0.12270459351347883,0
8,emotional_memory,MEMORY,0.06654485675652486,1.1768855054572043,0.3549059027014659,0
20,arousal,MEMORY,0.06654003381647433,1.1769169827532728,0.3549059027014659,0
2,declarative_memory,MEMORY,0.1483989057784194,0.8285693013221294,0.6392568248916528,0
21,episodic_simulation,MEMORY,0.144476393360811,0.8402031084137959,0.6392568248916528,0
3,recognition_memory,MEMORY,0.25669115174366186,0.5905891013914003,0.8455708528026509,0
0,memory,MEMORY,0.3501955582330508,0.4556893666680767,0.957314969767106,0
12,facial_expression,MEMORY,0.31685756125338266,0.4991359247342952,0.957314969767106,0
18,source_memory,MEMORY,0.3492005469634232,0.45692508471729704,0.957314969767106,0
4,remembering,MEMORY,0.538415231979714,0.26888266224774127,1.0,0
7,recognition,MEMORY,0.9999985347771755,6.363386536345866e-07,1.0,0
9,encoding,MEMORY,0.8960570694495416,0.04766432944754708,1.0,0
10,retrieval,MEMORY,0.9998799474258607,5.214130039826147e-05,1.0,0
13,picture,MEMORY,0.9630569091359326,0.016348048707812545,1.0,0
14,recall,MEMORY,0.6507780365201525,0.18656711274049761,1.0,0
15,autobiographical_memory,MEMORY,0.8580719663304773,0.06647628642924948,1.0,0
16,face,MEMORY,0.4673379556113207,0.33036894561135577,1.0,0
17,memory_process,MEMORY,0.9617954003666835,0.01691730420143456,1.0,0
22,reward,REWARD,9.013983389469061e-16,15.04508324656109,5.0478306981026745e-14,1
23,reward_processing,REWARD,8.911650914832174e-13,12.050041833922075,3.327016341537345e-11,1
24,reward_anticipation,REWARD,0.005176019508715525,2.2860040954553655,0.048309515414678234,1
26,monetary_incentive_delay_task,REWARD,0.04056520565386889,1.3918463179330398,0.2839564395770822,1
25,anticipation,REWARD,0.09016792116911043,1.044947942914426,0.4243620891556078,1
27,reward_learning,REWARD,0.3504456585754584,0.45537931581569374,0.957314969767106,1
29,cognitive_control,COGNITION,2.190424181373056e-19,18.659471774752948,2.4532750831378227e-17,2
51,salience,COGNITION,4.774671320625152e-09,8.321056519064905,1.3369079697750427e-07,2
39,cognitive,COGNITION,3.2262828921976413e-06,5.491297554760476,7.226873678522717e-05,2
52,emotion,COGNITION,4.772220852820961e-05,4.3212794658939835,0.0006681109193949345,2
35,strategy,COGNITION,0.0007503534331740666,3.1247341260456634,0.008403958451549546,2
38,valence,COGNITION,0.013263060894183089,1.8773562364102785,0.10610448715346471,2
30,arousal,COGNITION,0.06654003381647433,1.1769169827532728,0.3549059027014659,2
34,decision_making,COGNITION,0.06264475785581208,1.2031152651254806,0.3549059027014659,2
46,anticipation,COGNITION,0.09016792116911043,1.044947942914426,0.4243620891556078,2
49,decision,COGNITION,0.09093473339048738,1.0412702021617362,0.4243620891556078,2
41,working_memory,COGNITION,0.2565404841384259,0.5908440900041846,0.8455708528026509,2
47,memory,COGNITION,0.3501955582330508,0.4556893666680767,0.957314969767106,2
31,cognitive_process,COGNITION,0.37455279976145023,0.42648695225361977,0.9755793854251726,2
37,context,COGNITION,0.3697206197676129,0.4321263276211839,0.9755793854251726,2
28,monitoring,COGNITION,0.9986169175189922,0.0006010808576051458,1.0,2
32,reaction_time,COGNITION,0.9991399052774982,0.00037369512154464144,1.0,2
33,retrieval,COGNITION,0.9998799474258607,5.214130039826147e-05,1.0,2
36,error_detection,COGNITION,0.9671642002627439,0.01449978732934548,1.0,2
40,manipulation,COGNITION,0.9999797438038895,8.797243294765306e-06,1.0,2
42,response_selection,COGNITION,0.9884501722286613,0.005045218582542685,1.0,2
43,goal,COGNITION,0.8888207103622063,0.051185834477590855,1.0,2
44,word,COGNITION,1.0,-0.0,1.0,2
45,judgment,COGNITION,0.9740536131904275,0.011417138324711414,1.0,2
48,remembering,COGNITION,0.538415231979714,0.26888266224774127,1.0,2
50,autobiographical_memory,COGNITION,0.8580719663304773,0.06647628642924948,1.0,2
