,TERM,DOMAIN,P,-log10(P),FDR,ORDER
5,emotion,MEMORY,2.0424932526682035e-47,46.6898393694755,7.625308143294627e-46,0
6,fear,MEMORY,3.3565878046683894e-23,22.47410198766148,5.370540487469423e-22,0
11,valence,MEMORY,7.277609467288104e-18,17.13801125333242,7.409929639420615e-17,0
12,facial_expression,MEMORY,1.1152135825735718e-10,9.952641949790515,9.60799394217231e-10,0
8,emotional_memory,MEMORY,3.0346322581169673e-06,5.517893929941947,1.999287134759414e-05,0
15,autobiographical_memory,MEMORY,6.944087617492055e-06,5.15838480805719,4.093356911363737e-05,0
20,arousal,MEMORY,9.401052168240885e-06,5.0268235373269965,5.013894489728472e-05,0
1,episodic_memory,MEMORY,2.0457926568147997e-05,4.689138384584888,0.00010414944434693526,0
21,episodic_simulation,MEMORY,0.0006869459401491611,3.1630774388046343,0.0032057477206960854,0
2,declarative_memory,MEMORY,0.00164848899077224,2.7829139488925794,0.006838176554314477,0
16,face,MEMORY,0.15225269560877516,0.8174350095151005,0.5328844346307131,0
19,encoding_task,MEMORY,0.20629549223688237,0.6855102616925604,0.6601455751580236,0
18,source_memory,MEMORY,0.2957017413364208,0.5291461179812481,0.9199609730466424,0
0,memory,MEMORY,0.6908036703277444,0.1606453636366408,1.0,0
3,recognition_memory,MEMORY,0.8466949999420164,0.07227300489588209,1.0,0
4,remembering,MEMORY,0.9718061619441609,0.01242035152752719,1.0,0
7,recognition,MEMORY,1.0,-0.0,1.0,0
9,encoding,MEMORY,0.9999990813203761,3.9897767457572445e-07,1.0,0
10,retrieval,MEMORY,0.9999999999083132,3.98190579671171e-11,1.0,0
13,picture,MEMORY,0.8303719979508587,0.08072730465514584,1.0,0
14,recall,MEMORY,0.5918026336733495,0.2278231064493673,1.0,0
17,memory_process,MEMORY,0.5824551949611162,0.23473747687627772,1.0,0
22,reward,REWARD,3.807664146771283e-43,42.419341365339164,1.0661459610959592e-41,1
23,reward_processing,REWARD,3.1196122473210066e-39,38.50589938332578,6.987931433999055e-38,1
24,reward_anticipation,REWARD,1.2397794569492397e-12,11.906655564151167,1.1571274931526239e-11,1
27,reward_learning,REWARD,2.840688212285708e-07,6.546576430872134,2.2725505698285666e-06,1
26,monetary_incentive_delay_task,REWARD,1.5728325657703357e-06,5.803317507276477,1.100982796039235e-05,1
25,anticipation,REWARD,0.18384554626486008,0.7355468866328873,0.605608858284245,1
29,cognitive_control,COGNITION,3.279982261654763e-74,73.48412850497317,3.6735801330533346e-72,2
52,emotion,COGNITION,2.0424932526682035e-47,46.6898393694755,7.625308143294627e-46,2
51,salience,COGNITION,8.750295304458282e-36,35.057977290185384,1.6333884568322129e-34,2
39,cognitive,COGNITION,1.7973496237508154e-21,20.745367434912897,2.5162894732511417e-20,2
34,decision_making,COGNITION,6.680040916334971e-19,18.175220877392107,8.312939806994629e-18,2
38,valence,COGNITION,7.277609467288104e-18,17.13801125333242,7.409929639420615e-17,2
49,decision,COGNITION,9.164050295231677e-07,6.0379125359294274,6.842490887106319e-06,2
50,autobiographical_memory,COGNITION,6.944087617492055e-06,5.15838480805719,4.093356911363737e-05,2
30,arousal,COGNITION,9.401052168240885e-06,5.0268235373269965,5.013894489728472e-05,2
43,goal,COGNITION,0.0004097935569430566,3.3874348741585294,0.0019955164512009712,2
41,working_memory,COGNITION,0.0014947619845662567,2.8254279558471818,0.006438974702746952,2
35,strategy,COGNITION,0.0021368665856071724,2.6702225919881717,0.008252726123724251,2
37,context,COGNITION,0.003047455017978323,2.5160626960747896,0.011377165400452405,2
31,cognitive_process,COGNITION,0.13389674933514917,0.8732299664005665,0.48375599759795823,2
46,anticipation,COGNITION,0.18384554626486008,0.7355468866328873,0.605608858284245,2
28,monitoring,COGNITION,0.9999707714849154,1.269396832928446e-05,1.0,2
