,TERM,DOMAIN,P,-log10(P),FDR,ORDER
5,emotion,MEMORY,1.062667550487971e-46,45.97360258079243,3.967292188488425e-45,0
6,fear,MEMORY,8.294594862222843e-23,22.081204821622496,1.3271351779556548e-21,0
11,valence,MEMORY,9.478204869611283e-18,17.023273908341817,9.650535867240579e-17,0
12,facial_expression,MEMORY,1.3715217461521477e-10,9.862797302052154,1.1816187351464657e-09,0
8,emotional_memory,MEMORY,1.6770071931878075e-06,5.775465074570377,1.1048517978649085e-05,0
15,autobiographical_memory,MEMORY,5.241099470100006e-06,5.280577597804446,3.089490213953688e-05,0
20,arousal,MEMORY,9.167861410514471e-06,5.037731960505802,4.889526085607718e-05,0
1,episodic_memory,MEMORY,3.100816216777403e-05,4.508523973332075,0.00015785973467230413,0
21,episodic_simulation,MEMORY,0.0016313606123231936,2.7874500275365137,0.007078577460484257,0
2,declarative_memory,MEMORY,0.0020317528002846367,2.692129133003788,0.00842801161599553,0
16,face,MEMORY,0.15579871569345113,0.8074361266990524,0.5484900261865645,0
19,encoding_task,MEMORY,0.23008956604426342,0.6381030749956026,0.736286611341643,0
18,source_memory,MEMORY,0.32069044134914126,0.4939139846652269,0.9977035953084394,0
0,memory,MEMORY,0.7319505434702835,0.13551826241643236,1.0,0
3,recognition_memory,MEMORY,0.8797515228184256,0.05563997274390251,1.0,0
4,remembering,MEMORY,0.9735777206251075,0.011629373069164336,1.0,0
7,recognition,MEMORY,1.0,-0.0,1.0,0
9,encoding,MEMORY,0.9999994248766023,2.4977298985259735e-07,1.0,0
10,retrieval,MEMORY,0.9999999999369859,2.7366697390551308e-11,1.0,0
13,picture,MEMORY,0.8418487310051432,0.07476593841921009,1.0,0
14,recall,MEMORY,0.5842428271423071,0.23340661081701566,1.0,0
17,memory_process,MEMORY,0.5553698337300357,0.25541771371141175,1.0,0
22,reward,REWARD,2.719978154895723e-42,41.56543458392402,7.615938833708025e-41,1
23,reward_processing,REWARD,1.4295526281843518e-38,37.84479985170205,3.202197887132948e-37,1
24,reward_anticipation,REWARD,2.5041034513474713e-12,11.601347733200711,2.33716322125764e-11,1
27,reward_learning,REWARD,3.5413131697861075e-07,6.450835665476846,2.6441805001069604e-06,1
26,monetary_incentive_delay_task,REWARD,1.5728325657703357e-06,5.803317507276477,1.100982796039235e-05,1
25,anticipation,REWARD,0.1677246664049014,0.7754030632389739,0.5525047834514399,1
29,cognitive_control,COGNITION,3.940076270390315e-74,73.40449537119751,4.4128854228371525e-72,2
52,emotion,COGNITION,1.062667550487971e-46,45.97360258079243,3.967292188488425e-45,2
51,salience,COGNITION,1.9636868949322745e-35,34.70692775822087,3.665548870540246e-34,2
39,cognitive,COGNITION,1.3004902174619442e-19,18.885892910302616,1.820686304446722e-18,2
34,decision_making,COGNITION,1.7335552742974987e-18,17.761062306335425,2.157313230236887e-17,2
38,valence,COGNITION,9.478204869611283e-18,17.023273908341817,9.650535867240579e-17,2
49,decision,COGNITION,2.4031423384300913e-07,6.619220505116197,1.922513870744073e-06,2
50,autobiographical_memory,COGNITION,5.241099470100006e-06,5.280577597804446,3.089490213953688e-05,2
30,arousal,COGNITION,9.167861410514471e-06,5.037731960505802,4.889526085607718e-05,2
