HARVARD_OXFORD,TERMS,SOURCE,TYPE
accumbens,accumbens,Harvard-Oxford,term
accumbens,acb,NeuroNames,acronym
accumbens,nucleus accumbens,NeuroNames,term
accumbens,accumbens nucleus,NeuroNames,term
accumbens,nucleus accumbens septi,NeuroNames,term
accumbens,caudate head,OBART-TALc,term
amygdala,amygdala,Harvard-Oxford,term
amygdala,amg,NeuroNames,acronym
amygdala,amygdaloid body,NeuroNames,term
amygdala,amygdaloid nuclear complex,NeuroNames,term
amygdala,amygdaloid nucleus,NeuroNames,term
amygdala,archistriatum,NeuroNames,term
amygdala,corpus amygdalae,NeuroNames,term
amygdala,corpus amygdaloideum,NeuroNames,term
amygdala,nucleus amygdalae,NeuroNames,term
angular_gyrus,ang,NeuroNames,acronym
angular_gyrus,prelunate gyrus,NeuroNames,term
angular_gyrus,preoccipital gyrus,NeuroNames,term
angular_gyrus,gyrus angularis,NeuroNames,term
brainstem,brainstem,Harvard-Oxford,term
brainstem,brain stem,NeuroNames,term
brainstem,truncus cerebri,NeuroNames,term
brainstem,midbrain,NeuroNames,term
brainstem,pons,NeuroNames,term
brainstem,mediulla,NeuroNames,term
brainstem,red nucleus,OBART-TALc,term
caudate,caudate,Harvard-Oxford,term
caudate,caudate nucleus,NeuroNames,term
caudate,cd,NeuroNames,acronym
caudate,caudatus,NeuroNames,term
caudate,nucleus caudatus,NeuroNames,term
caudate,caudate body,OBART-TALc,term
central_opercular_cortex,central opercular cortex,Harvard-Oxford,term
central_opercular_cortex,opercular cortex,NeuroNames,term
central_opercular_cortex,opcx,NeuroNames,term
central_opercular_cortex,opercula,NeuroNames,term
central_opercular_cortex,area 43,OBART-TALc,term
central_opercular_cortex,ba 43,Grammatical,acronym
cerebellum,cerebellum,Harvard-Oxford,term
cerebellum,corpus cerebelli,NeuroNames,term
cerebellum,parencephalon,NeuroNames,term
cingulate_gyrus_anterior_division,cingulate gyrus anterior division,Harvard-Oxford,term
cingulate_gyrus_anterior_division,anterior cingulate gyrus,NeuroNames,term
cingulate_gyrus_anterior_division,acgg,NeuroNames,acronym
cingulate_gyrus_anterior_division,anterior cingulate,NeuroNames,term
cingulate_gyrus_anterior_division,gyrus cinguli anterior,NeuroNames,term
cingulate_gyrus_anterior_division,area 33,OBART-TALc,term
cingulate_gyrus_anterior_division,ba 33,Grammatical,acronym
cingulate_gyrus_anterior_division,area 24,OBART-TALc,term
cingulate_gyrus_anterior_division,ba 24,Grammatical,acronym
cingulate_gyrus_posterior_division,cingulate gyrus posterior division,Harvard-Oxford,term
cingulate_gyrus_posterior_division,posterior cingulate gyrus,NeuroNames,term
cingulate_gyrus_posterior_division,pcgg,NeuroNames,acronym
cingulate_gyrus_posterior_division,posterior cingulate,NeuroNames,term
cingulate_gyrus_posterior_division,area 23,OBART-TALc,term
cingulate_gyrus_posterior_division,ba 23,Grammatical,acronym
cuneal_cortex,cuneal cortex,Harvard-Oxford,term
cuneal_cortex,cuneus,NeuroNames,term
cuneal_cortex,cun,NeuroNames,acronym
