PMID,CITATIONS,YEAR,CITATIONS_PER_YEAR
1402966,21,1992,0.75
1410086,94,1992,3.357142857142857
1448149,84,1992,3.0
1486459,201,1992,7.178571428571429
1486460,75,1992,2.6785714285714284
1519476,28,1992,1.0
1527602,200,1992,7.142857142857143
1542680,110,1992,3.9285714285714284
1613546,65,1992,2.3214285714285716
1633409,14,1992,0.5
1679944,125,1991,4.310344827586207
1791928,63,1991,2.1724137931034484
1822545,47,1991,1.6206896551724137
1869921,215,1991,7.413793103448276
1875248,48,1991,1.6551724137931034
1884179,96,1991,3.310344827586207
1929214,9,1991,0.3103448275862069
2296583,207,1990,6.9
2360050,123,1990,4.1
2396097,102,1990,3.4
3277066,326,1988,10.1875
3298565,20,1987,0.6060606060606061
3653828,0,2014,0.0
3875696,36,1985,1.0285714285714285
7472384,80,1995,3.2
7479961,37,1995,1.48
7485619,133,1995,5.32
7488733,16,1995,0.64
7569934,140,1995,5.6
7708745,68,1995,2.72
7714579,124,1995,4.96
7811563,2,1994,0.07692307692307693
7820564,58,1994,2.230769230769231
7820565,29,1994,1.1153846153846154
7846080,52,1995,2.08
7850422,12,1994,0.46153846153846156
7864258,88,1995,3.52
7865775,31,1994,1.1923076923076923
7922456,27,1994,1.0384615384615385
7925790,50,1994,1.9230769230769231
7935791,108,1994,4.153846153846154
7953589,47,1994,1.8076923076923077
8027764,104,1994,4.0
8038933,63,1994,2.423076923076923
8207487,160,1994,6.153846153846154
8232848,100,1993,3.7037037037037037
8286936,25,1993,0.9259259259259259
8350282,39,1993,1.4444444444444444
8405250,20,1993,0.7407407407407407
8410148,147,1993,5.444444444444445
8430100,91,1993,3.3703703703703702
8430101,125,1993,4.62962962962963
8441008,221,1993,8.185185185185185
8480815,34,1993,1.2592592592592593
8524452,76,1995,3.04
8551361,95,1996,3.9583333333333335
8556839,238,1995,9.52
8592204,60,1995,2.4
8592206,20,1995,0.8
8595189,9,1995,0.36
8606767,228,1996,9.5
8606771,218,1996,9.083333333333334
8624678,70,1996,2.9166666666666665
8628399,211,1996,8.791666666666666
8642414,28,1996,1.1666666666666667
8642416,128,2014,21.333333333333332
8642418,20,1996,0.8333333333333334
8656296,34,1996,1.4166666666666667
8670634,162,1996,6.75
8673502,87,1996,3.625
8700204,91,1996,3.7916666666666665
8730806,15,1996,0.625
8738230,4,1996,0.16666666666666666
8772633,26,1996,1.0833333333333333
8774879,136,1996,5.666666666666667
8784221,26,1996,1.0833333333333333
8784224,29,1996,1.2083333333333333
8786445,50,1996,2.0833333333333335
8790444,144,1996,6.0
8805334,29,1996,1.2083333333333333
8805700,233,1996,9.708333333333334
8805836,64,1996,2.6666666666666665
8813286,72,1996,3.0
8815903,67,1996,2.7916666666666665
8822570,97,1996,4.041666666666667
8836245,67,1996,2.7916666666666665
8855347,50,1996,2.0833333333333335
8864300,47,1996,1.9583333333333333
8889766,15,1996,0.625
8893004,354,1996,14.75
8896772,34,1996,1.4166666666666667
8904757,21,1996,0.875
8929174,41,1996,1.7083333333333333
8931582,28,1996,1.1666666666666667
8931588,28,1996,1.1666666666666667
8938120,370,1996,15.416666666666666
8951412,163,1996,6.791666666666667
8952093,32,1996,1.3333333333333333
8957565,27,1996,1.125
8981399,54,1996,2.25
8981469,34,1996,1.4166666666666667
8988793,4,1997,0.17391304347826086
8989012,24,1997,1.0434782608695652
9010014,45,1996,1.875
9023428,17,1997,0.7391304347826086
9023435,28,1997,1.2173913043478262
9025115,47,1997,2.0434782608695654
9038283,24,1997,1.0434782608695652
9038284,367,1997,15.956521739130435
9051780,76,1996,3.1666666666666665
9054787,12,1997,0.5217391304347826
9055802,50,1997,2.1739130434782608
9065511,25,1997,1.0869565217391304
9080447,11,1997,0.4782608695652174
9084599,117,1997,5.086956521739131
9084621,48,1997,2.0869565217391304
9108115,111,1997,4.826086956521739
9114262,29,1997,1.2608695652173914
9114263,108,1997,4.695652173913044
9116229,6,1996,0.25
9121583,382,1997,16.608695652173914
9125463,29,1997,1.2608695652173914
9126062,147,1997,6.391304347826087
9133394,19,1997,0.8260869565217391
9141092,239,1997,10.391304347826088
9153035,69,1997,3.0
9153677,29,1997,1.2608695652173914
9160646,10,1996,0.4166666666666667
9175118,54,1997,2.347826086956522
9183247,76,1997,3.3043478260869565
9183248,77,1997,3.347826086956522
9185551,18,1997,0.782608695652174
9187292,11,1997,0.4782608695652174
9204934,125,1997,5.434782608695652
9210741,129,1997,5.608695652173913
9210742,113,1997,4.913043478260869
9217681,81,1997,3.5217391304347827
9223090,26,1997,1.1304347826086956
9223094,47,1997,2.0434782608695654
9228523,73,1997,3.1739130434782608
9238064,79,1997,3.4347826086956523
9242293,31,1997,1.3478260869565217
9256495,37,1997,1.608695652173913
9287369,25,1997,1.0869565217391304
9295118,73,1997,3.1739130434782608
9295122,42,1997,1.826086956521739
9299382,45,1997,1.9565217391304348
9305814,25,1997,1.0869565217391304
9309607,96,1997,4.173913043478261
9333238,257,1997,11.173913043478262
9343589,578,1995,23.12
9343594,19,1995,0.76
9343606,77,1994,2.9615384615384617
9343610,6,1995,0.24
9343611,84,1995,3.36
9345474,29,1996,1.2083333333333333
9345478,42,1996,1.75
9345483,31,1996,1.2916666666666667
9345509,42,1996,1.75
9345552,13,1997,0.5652173913043478
9347486,27,1997,1.173913043478261
9352521,128,1997,5.565217391304348
9354332,40,1997,1.7391304347826086
9365370,66,1997,2.869565217391304
9389221,18,1997,0.782608695652174
9391021,63,1997,2.739130434782609
9397017,55,1997,2.391304347826087
9401596,14,1997,0.6086956521739131
9405692,532,1997,23.130434782608695
9412517,473,1998,21.5
9414011,12,1997,0.5217391304347826
9417966,94,1997,4.086956521739131
9427311,33,1997,1.434782608695652
9427367,12,1997,0.5217391304347826
9430507,4,1997,0.17391304347826086
9462476,96,1997,4.173913043478261
9462480,7,1997,0.30434782608695654
9463462,45,1998,2.0454545454545454
9465007,86,1998,3.909090909090909
9469535,110,1997,4.782608695652174
9482951,24,1998,1.0909090909090908
9491989,137,1998,6.2272727272727275
9500831,23,1998,1.0454545454545454
9501235,49,1998,2.227272727272727
9510380,44,1998,2.0
9510384,80,1998,3.6363636363636362
9529825,7,1998,0.3181818181818182
9529941,70,1998,3.1818181818181817
9529944,21,1998,0.9545454545454546
9539233,14,1998,0.6363636363636364
9547077,37,1998,1.6818181818181819
9549487,285,1998,12.954545454545455
9549504,72,1998,3.272727272727273
9549517,93,1998,4.2272727272727275
9559951,8,1998,0.36363636363636365
9571103,16,1998,0.7272727272727273
9576541,67,1998,3.0454545454545454
9597657,56,1998,2.5454545454545454
9619195,59,1998,2.6818181818181817
9620697,152,1998,6.909090909090909
9620698,367,1998,16.681818181818183
9620699,257,1998,11.681818181818182
9626670,30,1998,1.3636363636363635
9626672,5,1998,0.22727272727272727
9626674,8,1998,0.36363636363636365
9626713,35,1998,1.5909090909090908
9632390,167,1998,7.590909090909091
9636217,55,1998,2.5
9648549,51,1998,2.3181818181818183
9665617,2,1998,0.09090909090909091
9673660,40,1998,1.8181818181818181
9673996,25,1998,1.1363636363636365
9674604,18,1998,0.8181818181818182
9679774,60,1998,2.727272727272727
9685203,9,1998,0.4090909090909091
9696465,26,1998,1.1818181818181819
9698330,20,1998,0.9090909090909091
9698571,27,1998,1.2272727272727273
9698575,88,1998,4.0
9698579,4,1998,0.18181818181818182
9699694,46,1998,2.090909090909091
9704265,132,1998,6.0
9704267,32,1998,1.4545454545454546
9714705,182,1998,8.272727272727273
9740361,31,1998,1.4090909090909092
9740761,36,1998,1.6363636363636365
9749761,9,1998,0.4090909090909091
9753190,100,1998,4.545454545454546
9754701,25,1998,1.1363636363636365
9758739,47,1998,2.1363636363636362
9758741,21,1998,0.9545454545454546
9758742,5,1998,0.22727272727272727
9770542,35,1998,1.5909090909090908
9772106,7,1998,0.3181818181818182
9772269,38,1998,1.7272727272727273
9772270,30,1998,1.3636363636363635
9787003,86,1998,3.909090909090909
9798741,82,1998,3.727272727272727
9799627,49,1998,2.227272727272727
9801380,72,1998,3.272727272727273
9801381,51,1998,2.3181818181818183
9802236,148,1998,6.7272727272727275
9808463,366,1998,16.636363636363637
9819069,30,1998,1.3636363636363635
9819271,121,1998,5.5
9819274,59,1998,2.6818181818181817
9821359,114,1998,5.181818181818182
9827764,32,1998,1.4545454545454546
9827777,10,1998,0.45454545454545453
9831457,67,1998,3.0454545454545454
9831460,36,1998,1.6363636363636365
9838166,11,1999,0.5238095238095238
9849722,45,1998,2.0454545454545454
9858371,8,1998,0.36363636363636365
9858384,59,1998,2.6818181818181817
9861465,179,1998,8.136363636363637
9862553,33,1998,1.5
9862924,41,1998,1.8636363636363635
9863701,53,1998,2.409090909090909
9867232,6,1998,0.2727272727272727
9882087,58,1999,2.761904761904762
9894875,57,1999,2.7142857142857144
9918735,66,1999,3.142857142857143
9918737,2,1999,0.09523809523809523
9927549,7,1999,0.3333333333333333
9927550,111,1999,5.285714285714286
9927551,4,1999,0.19047619047619047
9950067,52,1999,2.4761904761904763
9950713,22,1999,1.0476190476190477
9989556,37,1999,1.7619047619047619
9990082,46,1999,2.1904761904761907
9990104,59,1999,2.8095238095238093
10022492,187,1999,8.904761904761905
10022494,45,1999,2.142857142857143
10022496,32,1999,1.5238095238095237
10027301,118,1999,5.619047619047619
10051677,31,1999,1.4761904761904763
10051756,48,1999,2.2857142857142856
10071054,28,1999,1.3333333333333333
10071093,67,1999,3.1904761904761907
10075897,64,1999,3.0476190476190474
10080553,24,1999,1.1428571428571428
10094257,59,1999,2.8095238095238093
10096413,69,1997,3.0
10096417,72,1997,3.130434782608696
10097801,63,1999,3.0
10191322,56,1999,2.6666666666666665
10195113,43,1998,1.9545454545454546
10195114,85,1998,3.8636363636363638
10195166,169,1998,7.681818181818182
10195173,52,1999,2.4761904761904763
10195224,199,1999,9.476190476190476
10196461,17,1999,0.8095238095238095
10197540,121,1999,5.761904761904762
10198130,59,1999,2.8095238095238093
10200226,54,1999,2.5714285714285716
10200303,143,1999,6.809523809523809
10200737,135,1999,6.428571428571429
10202575,25,1999,1.1904761904761905
10204547,159,1999,7.571428571428571
10208571,66,1999,3.142857142857143
10211469,53,1999,2.5238095238095237
10215087,42,1999,2.0
10216270,5,1999,0.23809523809523808
10216273,11,1999,0.5238095238095238
10220229,41,1999,1.9523809523809523
10220461,38,1999,1.8095238095238095
10227106,14,1999,0.6666666666666666
10230795,456,1999,21.714285714285715
10233106,25,1999,1.1904761904761905
10234026,182,1999,8.666666666666666
10318979,72,1999,3.4285714285714284
10320379,249,1999,11.857142857142858
10327898,521,1999,24.80952380952381
10327899,22,1999,1.0476190476190477
10329289,16,1999,0.7619047619047619
10332889,70,1999,3.3333333333333335
10336657,266,1999,12.666666666666666
10348741,37,1999,1.7619047619047619
10349031,114,1999,5.428571428571429
10349294,28,1999,1.3333333333333333
10355673,169,1999,8.047619047619047
10355678,42,1999,2.0
10355680,169,1999,8.047619047619047
10356062,150,1999,7.142857142857143
10366639,32,1999,1.5238095238095237
10372081,10,1999,0.47619047619047616
10376114,159,1999,7.571428571428571
10380965,29,1999,1.380952380952381
10382629,8,1999,0.38095238095238093
10385578,379,1999,18.047619047619047
10385581,45,1999,2.142857142857143
10385583,8,1999,0.38095238095238093
10388796,66,1999,3.142857142857143
10388797,61,1999,2.9047619047619047
10388802,89,1999,4.238095238095238
10390028,47,1999,2.238095238095238
10392834,6,1999,0.2857142857142857
10393989,363,1999,17.285714285714285
10400241,1,1999,0.047619047619047616
10400972,53,1999,2.5238095238095237
10400975,2,1999,0.09523809523809523
10401985,6,1999,0.2857142857142857
10402199,35,1999,1.6666666666666667
10404202,156,1999,7.428571428571429
10407049,49,1999,2.3333333333333335
10407201,8,1999,0.38095238095238093
10408647,83,1999,3.9523809523809526
10417250,76,1999,3.619047619047619
10426417,33,1999,1.5714285714285714
10430951,181,1999,8.619047619047619
10430955,162,1999,7.714285714285714
