PMID,N,SOURCE
1402966,10.0,BrainMap
1410086,10.0,BrainMap
1448149,11.0,BrainMap
1486459,9.0,BrainMap
1486460,12.0,BrainMap
1519476,5.0,BrainMap
1527602,23.0,BrainMap
1542680,18.0,BrainMap
1613546,6.0,BrainMap
1633409,8.0,BrainMap
1679944,6.0,BrainMap
1791928,4.0,BrainMap
1822545,6.0,BrainMap
1869921,9.0,BrainMap
1875248,6.0,BrainMap
1884179,6.0,BrainMap
1929214,1.0,BrainMap
2296583,8.0,BrainMap
2360050,9.0,BrainMap
2396097,8.0,BrainMap
3277066,17.0,BrainMap
3298565,1.4761904761904763,BrainMap
3653828,9.0,BrainMap
3875696,9.0,BrainMap
7472384,6.0,BrainMap
7479961,16.0,BrainMap
7485619,13.0,BrainMap
7488733,12.0,BrainMap
7569934,12.0,BrainMap
7708745,12.0,BrainMap
7714579,6.0,BrainMap
7811563,2.3333333333333335,BrainMap
7820564,6.0,BrainMap
7820565,6.0,BrainMap
7846080,10.0,BrainMap
7850422,3.0,BrainMap
7864258,11.0,BrainMap
7865775,20.0,BrainMap
7922456,9.0,BrainMap
7925790,6.0,BrainMap
7935791,6.0,BrainMap
7953589,8.0,BrainMap
8027764,9.0,BrainMap
8038933,4.0,BrainMap
8207487,12.0,BrainMap
8232848,6.0,BrainMap
8286936,9.0,BrainMap
8350282,5.0,BrainMap
8405250,6.0,BrainMap
8410148,8.5,BrainMap
8430100,9.0,BrainMap
8430101,10.0,BrainMap
8441008,24.0,BrainMap
8480815,7.0,BrainMap
8524452,40.0,BrainMap
8551361,12.0,BrainMap
8556839,6.0,BrainMap
8592204,30.5,BrainMap
8592206,9.0,BrainMap
8595189,8.0,BrainMap
8606767,9.0,BrainMap
8606771,8.0,BrainMap
8624678,7.411764705882353,BrainMap
8628399,16.0,BrainMap
8642414,5.0,BrainMap
8642416,11.0,BrainMap
8642418,11.0,BrainMap
8656296,7.0,BrainMap
8670634,30.0,BrainMap
8673502,5.636363636363637,BrainMap
8700204,10.0,BrainMap
8730806,8.0,BrainMap
8738230,8.0,BrainMap
8772633,7.5,BrainMap
8774879,7.0,BrainMap
8784221,1.0,BrainMap
8784224,8.0,BrainMap
8786445,10.0,BrainMap
8790444,13.0,BrainMap
8805334,6.0,BrainMap
8805700,6.0,BrainMap
8805836,6.0,BrainMap
8813286,12.0,BrainMap
8815903,14.0,BrainMap
8822570,11.0,BrainMap
8836245,27.0,BrainMap
8855347,12.0,BrainMap
8864300,9.0,BrainMap
8889766,6.0,BrainMap
8893004,5.0,BrainMap
8896772,10.0,BrainMap
8904757,7.0,BrainMap
8929174,13.0,BrainMap
8931582,6.0,BrainMap
8931588,18.0,BrainMap
8938120,10.0,BrainMap
8951412,7.0,BrainMap
8952093,6.0,BrainMap
8957565,12.0,BrainMap
8981399,9.0,BrainMap
8981469,10.0,BrainMap
8988793,8.0,BrainMap
8989012,9.0,BrainMap
9010014,6.0,BrainMap
9023428,11.0,BrainMap
9023435,7.0,BrainMap
9025115,10.0,BrainMap
9038283,12.0,BrainMap
9038284,8.0,BrainMap
9051780,5.0,BrainMap
9054787,8.0,BrainMap
9055802,10.0,BrainMap
9065511,4.0,EHB
9080447,6.0,BrainMap
9084599,12.0,BrainMap
9084621,6.0,BrainMap
9108115,12.0,BrainMap
9114262,10.0,BrainMap
9114263,3.0,EHB
9116229,10.0,BrainMap
9121583,10.0,BrainMap
9125463,6.0,BrainMap
9126062,6.0,BrainMap
9133394,13.0,BrainMap
9141092,8.5,BrainMap
9153035,7.0,BrainMap
9153677,10.0,BrainMap
9160646,11.0,BrainMap
9175118,10.0,BrainMap
9183247,14.0,BrainMap
9183248,18.833333333333332,BrainMap
9185551,15.5,EHB
9187292,6.0,BrainMap
9204934,13.0,BrainMap
9210741,12.0,BrainMap
9210742,12.0,BrainMap
9217681,6.0,BrainMap
9223090,11.0,BrainMap
9223094,6.0,BrainMap
9228523,12.0,BrainMap
9238064,5.0,BrainMap
9242293,11.0,BrainMap
9256495,1.0,EHB
9287369,1.0,BrainMap
9295118,3.0,BrainMap
9295122,6.0,BrainMap
9299382,9.0,BrainMap
9305814,10.0,BrainMap
9309607,7.0,BrainMap
9333238,7.0,BrainMap
9343589,1.0,BrainMap
9343594,8.0,BrainMap
9343606,12.0,BrainMap
9343610,6.0,BrainMap
9343611,15.0,BrainMap
9345474,6.0,BrainMap
9345478,8.0,BrainMap
9345483,9.0,BrainMap
9345509,8.0,BrainMap
9345552,12.0,BrainMap
9347486,6.0,BrainMap
9352521,12.0,BrainMap
9354332,12.0,BrainMap
9365370,10.0,BrainMap
9389221,6.0,BrainMap
9391021,10.125,BrainMap
9397017,6.333333333333333,BrainMap
9401596,9.0,BrainMap
9405692,5.0,EHB
9412517,10.0,BrainMap
9414011,6.0,BrainMap
9417966,8.0,BrainMap
9427311,12.0,BrainMap
9427367,9.0,BrainMap
9430507,20.0,BrainMap
9462476,10.0,BrainMap
9462480,12.0,BrainMap
9463462,7.0,BrainMap
9465007,7.0,EHB
9469535,12.0,BrainMap
9482951,12.0,BrainMap
9491989,20.0,EHB
9500831,6.0,BrainMap
9501235,10.0,BrainMap
9510380,6.0,BrainMap
9510384,10.0,BrainMap
9529825,10.0,BrainMap
9529941,12.0,BrainMap
9529944,6.0,BrainMap
9539233,12.0,BrainMap
9547077,6.0,BrainMap
9549487,5.0,BrainMap
9549504,13.0,BrainMap
9549517,4.5,BrainMap
9559951,6.0,BrainMap
9571103,9.0,BrainMap
9576541,6.0,BrainMap
9597657,26.0,BrainMap
9619195,13.0,BrainMap
9620697,5.0,BrainMap
9620698,10.0,BrainMap
9620699,9.0,BrainMap
9626670,12.0,BrainMap
9626672,12.0,BrainMap
9626674,5.0,BrainMap
9626713,6.0,BrainMap
9632390,6.0,BrainMap
9636217,6.0,BrainMap
9648549,9.0,BrainMap
9665617,11.5,BrainMap
9673660,18.0,BrainMap
9673996,15.0,BrainMap
9674604,10.0,BrainMap
9679774,7.538461538461538,BrainMap
9685203,8.0,BrainMap
9696465,12.0,BrainMap
9698330,7.0,BrainMap
9698571,6.666666666666667,BrainMap
9698575,3.0,BrainMap
9698579,8.0,BrainMap
9699694,5.0,BrainMap
9704265,9.0,BrainMap
9704267,11.0,BrainMap
9714705,16.0,EHB
9740361,7.0,BrainMap
9740761,8.0,BrainMap
9749761,6.0,BrainMap
9753190,5.0,BrainMap
9754701,8.0,BrainMap
9758739,6.538461538461538,BrainMap
9758741,8.0,BrainMap
9758742,24.0,BrainMap
9770542,6.0,EHB
9772106,9.0,BrainMap
9772269,9.0,BrainMap
9772270,16.0,BrainMap
9787003,8.0,EHB
9798741,10.5,BrainMap
9799627,15.0,BrainMap
9801380,20.0,BrainMap
